bank_id,bank,nim,noncurrent_loans,tier1_ratio,tier1_capital,roa,date,total_assets,rwa,equity,net_loans,deposits,ID,npl_ratio,real_gdp_growth,unemployment,t3m,cpi_inflation,mortgage_rate,house_price_index
628,JPMorgan Chase Bank NA,2.045700389708456,3075000,8.33,56608000,0.6078709443225899,2005-03-31,983049000000,679743197,81590000000,360045000000,534136000,628_20050331,0.8540599091780194,4.5,5.3,2.536666667,3.206841261,5.768461538,333.41
628,JPMorgan Chase Bank NA,1.995453748007386,3560000,8.03,57747000,0.4307810394773163,2005-06-30,973113000000,719343497,83168000000,372602000000,529197000,628_20050630,0.9554430733061013,2.0,5.1,2.863333333,2.541026998,5.708461538,344.1
628,JPMorgan Chase Bank NA,1.9452251582478808,3650000,7.86,60074000,0.5295285269177938,2005-09-30,1008426000000,764543300,85090000000,386913000000,529396000,628_20050930,0.9433645289767985,3.2,4.966666667,3.36,4.741833509,5.763846154,354.52
628,JPMorgan Chase Bank NA,1.9301278894841352,3778000,8.06,61050000,0.514765854323285,2005-12-31,1013985000000,757006200,86350000000,390874000000,552610000,628_20051231,0.9665518811688678,2.2,4.966666667,3.826666667,3.338549817,6.226153846,362.57
628,JPMorgan Chase Bank NA,1.9540995360942288,3692000,8.06,62001000,0.881474096496169,2006-03-31,1093394000000,769011500,87395000000,408142000000,581311000,628_20060331,0.9045871289894203,5.5,4.733333333,4.393333333,3.417918177,6.246923077,368.3
628,JPMorgan Chase Bank NA,1.917424053327852,3700000,8.17,64055000,0.8057049395475296,2006-06-30,1144680000000,783938900,89362000000,396431000000,628592000,628_20060630,0.9333276156506429,1.0,4.633333333,4.703333333,4.181724316,6.602307692,372.09
628,JPMorgan Chase Bank NA,1.912954222374635,3738000,7.98,66439000,0.7866419720226283,2006-09-30,1173732000000,832127000,92025000000,401850000000,613255000,628_20060930,0.9301978350130645,0.6,4.633333333,4.906666667,2.012072435,6.56,375.15
628,JPMorgan Chase Bank NA,1.935624074204059,3823000,8.18,68726000,0.8832326360211643,2006-12-31,1179390000000,840056600,96010000000,416663000000,650614000,628_20061231,0.9175280742470534,3.5,4.433333333,4.903333333,2.523977789,6.243846154,379.0
628,JPMorgan Chase Bank NA,2.099875191481513,3877000,7.95,70474000,0.9872294251618684,2007-03-31,1224104000000,886385900,97876000000,410483000000,644313000,628_20070331,0.9444970924496264,1.2,4.5,4.983333333,2.798197296,6.214615385,380.4
628,JPMorgan Chase Bank NA,2.0944830396678,3895000,7.79,71500000,0.9251440767884356,2007-06-30,1252369000000,917322000,98388000000,438310000000,664100000,628_20070630,0.8886404599484383,2.5,4.5,4.736666667,2.692765114,6.358461538,380.15
628,JPMorgan Chase Bank NA,2.1734904724065807,4873000,8.21,75539000,0.8653000298780876,2007-09-30,1244049000000,920447400,102879000000,456380000000,699016000,628_20070930,1.0677505587449054,2.3,4.666666667,4.303333333,2.83382643,6.551538462,375.9
628,JPMorgan Chase Bank NA,2.21115345747367,6261000,8.26,78453000,0.8628674342316847,2007-12-31,1318888000000,950000900,106346000000,488371000000,772087000,628_20071231,1.2820171549907755,2.5,4.8,3.39,4.108813392,6.224615385,374.67
628,JPMorgan Chase Bank NA,2.333599357307255,7249000,8.21,80059000,0.6261608476351718,2008-03-31,1407568000000,974918100,108874000000,477463000000,806319000,628_20080331,1.5182328264179634,-1.7,5.0,2.043333333,3.97490355,5.872307692,371.91
628,JPMorgan Chase Bank NA,2.3962008786304705,7810000,8.07,80996000,0.6182818488235104,2008-06-30,1378468000000,1003183100,108929000000,472266000000,797676000,628_20080630,1.6537290425311162,2.4,5.333333333,1.626666667,4.935966106,6.086923077,362.51
628,JPMorgan Chase Bank NA,2.276449183681661,16880000,7.9,97103000,0.6237886478022673,2008-09-30,1768657000000,1228740600,125639000000,687049000000,1013390000,628_20080930,2.456884443467642,-2.1,6.0,1.493333333,4.953319875,6.322307692,351.1
628,JPMorgan Chase Bank NA,2.510623436299607,22857000,8.62,100597000,0.6835955266983131,2008-12-31,1746242000000,1166591000,128767000000,646750000000,1055765000,628_20081231,3.534132199458832,-8.5,6.866666667,0.296666667,-0.022228003,5.841428571,347.86
628,JPMorgan Chase Bank NA,2.9385895246098825,29774000,8.9,100437000,0.5830411430681172,2009-03-31,1688164000000,1127986900,130548000000,609261000000,979696000,628_20090331,4.886903970547926,-4.5,8.266666667,0.213333333,-0.446478768,5.06,350.42
628,JPMorgan Chase Bank NA,2.8673240021246733,35411000,9.31,101598000,0.465910508465002,2009-06-30,1663998000000,1091657720,131130000000,575440000000,974480000,628_20090630,6.153725844571111,-0.7,9.3,0.173333333,-1.229174618,5.012307692,341.25
628,JPMorgan Chase Bank NA,2.825361819250708,42435000,9.07,95942000,0.5155692265322671,2009-09-30,1669868000000,1058364320,128046000000,555417000000,962505000,628_20090930,7.64020546724353,1.4,9.633333333,0.156666667,-1.377942863,5.162307692,332.35
628,JPMorgan Chase Bank NA,2.808047153711399,45716000,9.52,96372000,0.5015509847836268,2009-12-31,1627684000000,1011994760,127294000000,535981000000,1024036000,628_20091231,8.529406825988236,4.4,9.933333333,0.056666667,2.814123123,4.922142857,329.8
628,JPMorgan Chase Bank NA,2.68862481117362,46703000,10.01,96039000,0.6623449105401328,2010-03-31,1674523000000,959012600,127370000000,543522000000,1020582000,628_20100331,8.592660462685963,1.9,9.833333333,0.106666667,2.286171439,4.995833333,325.87
628,JPMorgan Chase Bank NA,2.663669366570848,44494000,10.5,97549000,0.8235632301911587,2010-06-30,1568093000000,928739800,130905000000,538052000000,969042000,628_20100630,8.269460944295346,3.9,9.633333333,0.146666667,1.121560594,4.922307692,322.91
628,JPMorgan Chase Bank NA,2.6426014644429,43576000,10.23,98740000,0.7566226945500155,2010-09-30,1642691000000,965328300,132170000000,538416000000,984210000,628_20100930,8.093370182163977,3.1,9.466666667,0.156666667,1.118312247,4.447142857,326.04
628,JPMorgan Chase Bank NA,2.6093248688286703,43183000,9.5,91764000,0.7260014350591532,2010-12-31,1631621000000,965897200,123217000000,531890000000,1019993000,628_20101231,8.118783959089287,2.1,9.5,0.136666667,1.437793022,4.436153846,323.72
628,JPMorgan Chase Bank NA,2.419312848336216,40021000,9.45,92594000,0.6440381022097529,2011-03-31,1723460000000,980050600,123579000000,537601000000,1093004000,628_20110331,7.444368593064373,-0.9,9.033333333,0.126666667,2.61924151,4.846923077,314.72
628,JPMorgan Chase Bank NA,2.411969686448039,37059000,9.32,93498000,0.6510509525487157,2011-06-30,1791060000000,1003568000,125374000000,548200000000,1144158000,628_20110630,6.760124042320322,2.7,9.066666667,0.046666667,3.502318151,4.650769231,309.17
628,JPMorgan Chase Bank NA,2.4006101876533963,35417000,9.33,95890000,0.7546380767492077,2011-09-30,1826387000000,1028087700,129038000000,555610000000,1171148000,628_20110930,6.374435305340078,-0.1,9.0,0.023333333,3.812621693,4.291538462,311.47
628,JPMorgan Chase Bank NA,2.414490839586183,35412000,9.44,98426000,0.708902552037543,2011-12-31,1811678000000,1042898020,130777000000,580061000000,1190738000,628_20111231,6.104875176921047,4.6,8.633333333,0.013333333,3.062066838,4.002307692,312.91
628,JPMorgan Chase Bank NA,2.378932574591913,35218000,8.99,100387000,0.7034007279748742,2012-03-31,1842569000000,1117182600,133645000000,584565000000,1188468000,628_20120331,6.024650808721015,3.4,8.266666667,0.066666667,2.582875281,3.922307692,309.63
628,JPMorgan Chase Bank NA,2.3235619263649494,34001000,9.12,103048000,0.6831810519415146,2012-06-30,1812825000000,1129715000,136237000000,594303000000,1162998000,628_20120630,5.721155706769106,1.8,8.2,0.086666667,1.653870448,3.794615385,308.21
628,JPMorgan Chase Bank NA,2.263464319612086,34311000,9.66,107381000,0.7450295177586237,2012-09-30,1850218000000,1111340800,142392000000,592007000000,1186729000,628_20120930,5.795708496690073,0.6,8.033333333,0.103333333,1.949716898,3.553846154,312.31
628,JPMorgan Chase Bank NA,2.2169766957334667,32707000,10.2,111827000,0.757266365554479,2012-12-31,1896773000000,1095938800,146025000000,608723000000,1246327000,628_20121231,5.373051453616834,0.5,7.8,0.086666667,1.75950498,3.359230769,314.77
628,JPMorgan Chase Bank NA,2.0090094504259435,30606000,9.58,116268000,1.0919334405396417,2013-03-31,1948150000000,1213830000,149613000000,608133000000,1279593000,628_20130331,5.0327806581783925,4.0,7.733333333,0.086666667,1.518747241,3.496923077,316.31
628,JPMorgan Chase Bank NA,1.9826446375492817,28265000,9.75,120912000,1.0553596870000723,2013-06-30,1947794000000,1240574100,151237000000,604214000000,1249452000,628_20130630,4.67797833218032,1.1,7.533333333,0.05,1.715793527,3.672307692,321.14
628,JPMorgan Chase Bank NA,1.9629938369132975,23931000,10.37,124099000,0.7257040841920018,2013-09-30,1989875000000,1196348700,154351000000,609913000000,1329877000,628_20130930,3.9236743601136554,3.5,7.233333333,0.033333333,1.094734108,4.44,325.69
628,JPMorgan Chase Bank NA,1.9752193051622184,22114000,11.61,139727000,0.7934779178456873,2013-12-31,1945467000000,1202999400,169077000000,619348000000,1326036000,628_20131231,3.5705290079244625,3.5,6.933333333,0.063333333,1.512838367,4.293076923,328.27
628,JPMorgan Chase Bank NA,1.946915206040712,20878000,11.69,144715000,0.6639682316738383,2014-03-31,1970383000000,1237847900,173274000000,617527000000,1335066000,628_20140331,3.3809048025430464,-1.4,6.666666667,0.046666667,1.612694914,4.364615385,330.93
628,JPMorgan Chase Bank NA,1.9468555816146424,20606000,11.09,149637000,0.8221554450689008,2014-06-30,2002009000000,1349140000,179236000000,631751000000,1368272000,628_20140630,3.2617281175653066,5.3,6.2,0.033333333,2.058981695,4.227692308,337.35
628,JPMorgan Chase Bank NA,1.9564775765256095,19805000,11.47,152835000,0.7692332756713549,2014-09-30,2008797000000,1332242000,182341000000,628070000000,1377661000,628_20140930,3.1533109366790324,5.0,6.066666667,0.026666667,1.684050971,4.135384615,342.2
628,JPMorgan Chase Bank NA,1.9425659642178583,19460000,11.79,156891000,0.737779225540779,2014-12-31,2074981000000,1330175000,185623000000,640801000000,1439404000,628_20141231,3.0368242246812973,2.0,5.7,0.023333333,0.653121392,3.963571429,344.98
628,JPMorgan Chase Bank NA,1.8169008537508584,18746000,12.41,161986000,0.8486980037616021,2015-03-31,2096114000000,1304984000,190292000000,652182000000,1426389000,628_20150331,2.8743510247139605,3.6,5.533333333,0.026666667,-0.022031284,3.716666667,348.79
628,JPMorgan Chase Bank NA,1.851533972098249,17744000,12.7,161966000,0.8629094949511393,2015-06-30,1971380000000,1275783000,189376000000,678704000000,1330275000,628_20150630,2.614394493033782,2.5,5.433333333,0.02,0.17957181,3.819230769,354.43
628,JPMorgan Chase Bank NA,1.8815846937031655,17057000,12.96,166900000,0.8319732614311515,2015-09-30,1954125000000,1260657000,193672000000,701339000000,1302945000,628_20150930,2.4320620983575703,1.6,5.1,0.04,0.008842962,3.954615385,359.45
628,JPMorgan Chase Bank NA,1.926350365806324,16436000,13.39,169222000,0.8427288894952792,2015-12-31,1914658000000,1249606828,195538000000,725378000000,1312940000,628_20151231,2.2658531138247917,0.7,5.033333333,0.123333333,0.638724752,3.897857143,362.31
