bank_id,bank,date,npl_ratio,npl_pred,error
588,M&T Bank,2023-03-31,2.3331004040234364,2.3848679838332143,0.051767579809777864
588,M&T Bank,2023-06-30,2.2175744190759783,2.375734385960651,0.1581599668846727
588,M&T Bank,2023-09-30,2.13355343635583,2.283492533066928,0.14993909671109762
588,M&T Bank,2023-12-31,1.9812183190794648,2.2619669200820236,0.28074860100255883
588,M&T Bank,2024-03-31,2.0127862301020727,2.126551158555776,0.11376492845370345
588,M&T Bank,2024-06-30,1.747995356661591,2.124189887672664,0.37619453101107325
588,M&T Bank,2024-09-30,1.7264506596218026,1.9273872915490635,0.20093663192726097
588,M&T Bank,2024-12-31,1.5860438547379685,1.8411899550581232,0.2551461003201547
628,JPMorgan Chase Bank NA,2023-03-31,0.7963433287472967,0.956203710532696,0.1598603817853993
628,JPMorgan Chase Bank NA,2023-06-30,0.7389424867054872,0.9634799181186219,0.22453743141313465
628,JPMorgan Chase Bank NA,2023-09-30,0.7514530636726757,0.9257239168448607,0.17427085317218494
628,JPMorgan Chase Bank NA,2023-12-31,0.7252129754362854,0.994685896231219,0.26947292079493357
628,JPMorgan Chase Bank NA,2024-03-31,0.7950540252742517,0.9774701889128238,0.18241616363857205
628,JPMorgan Chase Bank NA,2024-06-30,0.7893703114690953,1.0109857255226218,0.22161541405352647
628,JPMorgan Chase Bank NA,2024-09-30,0.8293916415318767,1.057067250586929,0.22767560905505224
628,JPMorgan Chase Bank NA,2024-12-31,0.8874186763744619,1.0285812116490338,0.1411625352745719
3510,Bank of America NA,2023-03-31,0.5470637901417883,0.7581385209820604,0.21107473084027206
3510,Bank of America NA,2023-06-30,0.5450516872669441,0.7424352546687227,0.19738356740177865
3510,Bank of America NA,2023-09-30,0.6165773202244696,0.7566000310963914,0.14002271087192175
3510,Bank of America NA,2023-12-31,0.6982383443677947,0.8808820565642321,0.18264371219643738
3510,Bank of America NA,2024-03-31,0.7720902802283592,0.9648116317321647,0.19272135150380543
3510,Bank of America NA,2024-06-30,0.7519287982007486,1.0020869275402597,0.2501581293395111
3510,Bank of America NA,2024-09-30,0.7991078852012847,1.0345971564025551,0.2354892712012704
3510,Bank of America NA,2024-12-31,0.7877842266103793,1.0128207178707234,0.22503649126034408
3511,Wells Fargo Bank NA,2023-03-31,1.1032888398389955,1.3129756041350082,0.20968676429601274
3511,Wells Fargo Bank NA,2023-06-30,1.1743279602850665,1.2872448182425715,0.11291685795750506
3511,Wells Fargo Bank NA,2023-09-30,1.3027837077112494,1.3698869852717739,0.06710327756052448
3511,Wells Fargo Bank NA,2023-12-31,1.3503701322495003,1.54753465621737,0.19716452396786965
3511,Wells Fargo Bank NA,2024-03-31,1.36154656875633,1.5995230870666488,0.23797651831031885
3511,Wells Fargo Bank NA,2024-06-30,1.383433883809443,1.578047078580527,0.19461319477108385
3511,Wells Fargo Bank NA,2024-09-30,1.4174763802185562,1.6499733742946006,0.2324969940760444
3511,Wells Fargo Bank NA,2024-12-31,1.4523353858101735,1.6158828443046487,0.16354745849447516
